date_and_time,type,description,street_address,city,state,zip,latitude,longitude
08/17/2018 07:55:00 PM,Battery-aggravated,Female was slapped by male while on the 600 block of e green st in champaign,600 Block Green St E,Urbana,IL,,40.1102,-88.2295
08/24/2018 03:01:00 AM,Unlawful use of weapons,"During a traffic stop, a loaded handgun was located on a mal e sitting in the rear passenger seat of vehicle. the male resisted officers and was arrested on scene.",Fifth St & University Ave,Urbana,IL,,40.1163,-88.2336
09/28/2018 02:40:00 AM,Battery,"Officer responded to investigate a battery that occured in l ot a9, 605 e healey, champaign.",600 Block Healey St E,Urbana,IL,,40.1113,-88.23
06/12/2018 07:05:00 PM,Battery-aggravated,officers reponded to investigate a battery,2000 Block Lincoln Ave S,Urbana,IL,,40.0929,-88.21799999999998
06/14/2018 11:56:00 PM,Unlawful use of weapons,Officer conducted a traffic stop on a vehicle. driver was found to be in possession of a handgun.,Second St S & Green St,Urbana,IL,,40.1102,-88.23700000000002
06/19/2018 01:20:00 AM,Battery-aggravated,"Male fled in his vehicle from traffic stop and struck an officer's arm as he fled. male was eventually located after committing multiple traffic violations, and placed under arrest.",Goodwin Ave & Springfield Ave,Urbana,IL,,40.1128,-88.22399999999998
07/03/2018 09:40:00 PM,Battery-aggravated,Reporting party said he was hit in the chest while jogging. no suspects,1300 Block Green St W,Urbana,IL,,40.1107,-88.227
10/07/2018 06:40:00 PM,Robbery,a subject was a victim of an attempted robbery on the quad.,1400 Block Green St W,Urbana,IL,,40.1095,-88.2273
11/24/2018 11:55:00 PM,Battery,Officers responded to the parking lot of houlihan's to investigate a battery. one subject was arrested and transpor ted to the champaign county jail.,1900 Block First St S,Urbana,IL,,40.0937,-88.2376
07/30/2018 11:45:00 AM,Battery,Two amp participants reportedly were involved in physical al tercation. further investigation shows this was unfounded.,200 Block Peabody Dr E,Urbana,IL,,40.1023,-88.2351
11/01/2018 12:58:00 AM,Battery-aggravated,Spo alerted police of a fight in progress. officers arrived and found one victim with facial wounds. a subj was indentif ied as the offender and arrested for battering the victim. t he victim was transported to the hospital.,Third St & Daniel,Urbana,IL,,40.1079,-88.2354
10/08/2018 11:13:00 AM,Bomb threat,University of illinois police department received several e-mails about anthrax bombs being placed around the state of illinois. these e-mails were determined to be a hoax.,1100 Block Springfield Ave W,Urbana,IL,,40.113,-88.2235
09/17/2018 01:20:00 PM,Battery,Department of economics staff member reported she was the vi ctim of a battery by a professor,1400 Block Gregory Dr W,Urbana,IL,,40.1036,-88.2283
09/20/2018 09:25:00 AM,Battery-aggravated,Victim was battered while walking down sidewalk. victim positively identified offender at show-up and offender was arrested.,Florida Ave W & Maryland Dr,Urbana,IL,,40.1006,-88.2242
11/07/2018 01:45:00 PM,Battery-aggravated,Officer responded to a battery report in which a student was touched inappropriately.,1200 Block Green St W,Urbana,IL,,40.1107,-88.2248
